company_id,name,search_rating,overall_rating,복지/급여,워라밸,사내문화,승진 기회,경영진,기업 추천율,CEO 지지율,성장 가능성,검색기업명
414891,(주)휴앤아이,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0%,0%,0%,휴앤아이
192520,동궁건설(주),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,동궁건설
358335,삼일피엔에프(주),1.8,1.8,1.8,2.2,1.8,1.8,1.7,17%,0%,0%,삼일피엔에프
169872,브랜드라인(주),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,브랜드라인
419651,(주)다맥이엔지,2.5,2.5,2.0,3.0,2.0,2.0,3.0,50%,50%,0%,다맥
410147,다온산업,3.0,3.0,3.0,3.0,4.0,3.0,4.0,0%,100%,0%,다온산업
353352,(주)맛조이코리아,4.0,4.0,2.0,4.0,5.0,2.0,4.0,100%,100%,100%,맛조이코리아
387452,(주)케이지산업개발,1.6,1.6,1.6,2.2,1.8,2.3,1.4,20%,10%,10%,이지산업개발
326064,(주)링크나인시스템,2.5,2.5,2.0,2.5,1.5,3.5,2.5,25%,50%,25%,나인시스템
17909,오드펠터미널코리아(주),2.9,2.9,3.8,4.1,2.3,2.7,2.4,50%,45%,7%,오드펠터미널코리아
94894,대경티엘에스(주),2.7,2.7,1.9,2.9,2.4,2.0,1.9,23%,20%,9%,대경티엘에스
22568,아이낸스(주),3.1,3.1,2.3,3.4,2.9,3.8,2.2,42%,27%,25%,아이낸스
111963,신우에이엔티(주),2.3,2.3,2.1,2.6,2.3,2.4,2.2,20%,43%,9%,신우
396225,인핸드플러스(주),4.0,4.0,3.7,4.3,3.7,3.3,3.3,100%,100%,67%,인핸드플러스
293495,팁탑(주),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,팁탑
61279,(주)우진플라임,2.0,2.0,1.6,1.9,1.9,2.2,1.7,11%,28%,12%,우진
114017,(주)제이에스코리아,3.0,3.0,2.8,4.3,3.8,3.8,2.3,25%,50%,25%,제이에스코리아
79170,(주)라이트제림,1.3,1.3,1.0,1.5,1.2,1.2,1.2,0%,0%,0%,라이트제림
6568,태광산업(주),2.3,2.3,2.0,3.0,2.2,2.3,1.7,20%,21%,6%,태광산업
142049,성지종합건설(주),3.0,3.0,3.0,3.0,3.0,3.0,3.0,100%,100%,100%,성지종합건설
94171,(주)티티씨에듀,2.0,2.0,1.8,2.0,2.1,2.5,1.8,18%,29%,6%,티티씨에듀
10625,주택관리공단(주),2.3,2.3,1.7,3.1,2.5,1.7,1.9,19%,25%,10%,주택관리공단
466782,(주)지비소프트,1.0,1.0,2.0,3.0,1.0,1.0,1.0,0%,0%,0%,지비소프트
65306,(주)에이블루,2.4,2.4,2.1,2.8,2.6,2.7,2.2,23%,32%,21%,이블루
171858,안리쓰코퍼레이션(주),2.6,2.6,3.6,2.7,1.9,2.4,1.7,21%,12%,17%,안리쓰코퍼레이션
410609,금오아이엠티(주),3.0,3.0,3.0,4.0,4.0,3.0,3.0,0%,100%,0%,금오아이엠티
42215,네이버시스템(주),2.6,2.6,1.9,2.8,2.7,2.7,2.2,25%,30%,10%,버시스
3633,한국릴리(유),3.7,3.7,3.4,4.1,3.8,2.9,3.1,82%,81%,33%,한국릴리
402568,동시테크(주),2.0,2.0,2.0,4.0,2.7,2.0,2.0,0%,0%,0%,동시테크
187231,에스아이에스(주),2.5,2.5,2.0,1.9,2.1,2.5,1.8,25%,33%,11%,에스아이에스
309962,아토디자인,2.6,2.6,2.5,2.2,3.3,2.6,2.5,38%,50%,15%,아토디자인
